"STCode","CorrectId","CurrentDbId","IdChanged","LocationName"
"DB05","2435","2978","Y","MUZAFFARPUR-HUB"
"DD03","2436","2979","Y","KAPASHERA PLANT"
"DH21","2437","2980","Y","MNSR-DC"
"DH24","2438","2981","Y","FRKH-NGR-RDC"
"DH25","2439","2982","Y","FRKH-NGR-DC-1"
"DH26","2440","2983","Y","JMLPR-RDC"
"DH27","2441","2984","Y","FRK-HUB"
"DH30","2442","2985","Y","FRKH-NGR-PRD"
"DJ01","2443","2986","Y","JAMSHEDPUR-HUB"
"DJ02","2444","2987","Y","DHANBAD-HUB"
"DK01","2445","2988","Y","BNGLR-DATA-CNTR"
"DK02","2446","2989","Y","HUBLI-HUB"
"DK10","2447","2990","Y","BNGLR"
"DM01","2448","2991","Y","BHOPAL-HUB"
"DM02","2449","2992","Y","JABALPUR-HUB"
"DN01","2450","2993","Y","GWHT-RDC"
"DN02","2451","2994","Y","DIBRUGARH RDC"
"DO01","2452","2995","Y","BBSR-RDC"
"DO02","2453","2996","Y","JHARSUGUDA"
"DP01","2454","2997","Y","JALANDHAR-HUB"
"DR01","2455","2998","Y","AJMER-HUB"
"DU05","2456","2999","Y","VARANASI-HUB"
"DU06","2457","3000","Y","LUCKNOW-HUB"
"DU07","2458","3001","Y","MORADABAD HUB"
"DW01","2459","3003","Y","KOLKATA-RDC"
"DW02","2460","3004","Y","KOLKATA-HUB"
"DX01","2461","3005","Y","JAMMU-CITY-HUB"
"HB12","2462","3006","Y","CHPR"
"HB14","2463","3007","Y","BGSR"
"HB18","2464","3008","Y","KSNGNJ"
"HB23","2465","3009","Y","LKSR"
"HB25","2466","3010","Y","BUXAR"
"HB27","2467","3011","Y","MZFPR"
"HB28","2468","3012","Y","BGSR-2"
"HB40","2469","3013","Y","BUXAR (CIVIL LINES)"
"HB49","2470","3014","Y","PATNA CITY-(SADIKPUR)"
"HD16","2471","3016","Y","MHPL"
"HD17","2472","3017","Y","KRB"
"HD18","2473","3018","Y","RJR-GDN"
"HD19","2474","3019","Y","K-NGR"
"HD21","2475","3020","Y","NJF"
"HD23","2476","3021","Y","KPSHR-2"
"HE10","2477","3022","Y","HYD"
"HH12","2478","3023","Y","FBD"
"HJ16","2479","3024","Y","DLTNGNJ"
"HK06","2480","3026","Y","UDUPI"
"HK09","2481","3027","Y","DVNGR"
"HL01","2482","2817","Y","ANAND (GUJARAT)"
"HL12","2483","3029","Y","MEHSANA(OPTION-1)"
"HM27","2484","3031","Y","UJJAIN"
"HN12","2485","3034","Y","GW-2-GNSPR"
"HN32","2486","3035","Y","KOKRAJHAR"
"HO22","2487","3036","Y","KHARIAR"
"HO33","2488","3037","Y","PARALAKHEMUNDI"
"HO34","2489","3038","Y","SEMLIGUDA"
"HO35","2490","3039","Y","HAVERI"
"HP19","2491","3041","Y","MALERKOTLA"
"HR15","2492","3042","Y","KOTA"
"HR16","2493","2835","Y","UDAIPUR"
"HR21","2494","3043","Y","KOTA"
"HT01","2495","3044","Y","HANAMKONDA"
"HT12","2496","3045","Y","HLDN"
"HT13","2497","3046","Y","HRDWR-1"
"HT15","2498","3047","Y","HRDWR-2"
"HU32","2499","3048","Y","GK-1-BNKRD-LGF"
"HU33","2500","3049","Y","VNS"
"HU35","2501","3050","Y","AZAM"
"HU37","2502","3051","Y","BHRCH"
"HU39","2503","3052","Y","LKNW"
"HU40","2504","3053","Y","STPR"
"HU42","2505","3054","Y","BNGL"
"HU43","2506","3055","Y","MAU"
"HU46","2507","3056","Y","LKNW-2"
"HU47","2508","3057","Y","FRKHBD"
"HU51","2509","3058","Y","LKNW-3"
"HU53","2510","3059","Y","FRZBD"
"HU56","2511","3060","Y","PAHARIYA"
"HU60","2512","3061","Y","BALLIA"
"HU62","2513","3062","Y","MIRZAPUR"
"HU63","2514","3063","Y","GK-3-BNKRD"
"HU66","2515","3064","Y","JNPR-2"
"HU68","2516","3065","Y","JHANSI"
"HU73","2517","3066","Y","BRLY-2"
"HU75","2518","3067","Y","MRZPR-2"
"HU77","2519","3068","Y","VNS-5(MALDAHIYA)"
"HU79","2520","3069","Y","ALLAHABAD (PRAYAGRAJ)"
"HU85","2521","3070","Y","ORAI"
"HW10","2522","3072","Y","GRHT"
"HW11","2523","3073","Y","HTBGN"
"HW12","2524","3074","Y","VIP ROAD"
"HW22","2525","3075","Y","BASIRHAT"
"RD04","2526","3080","Y","HO-OLD"
"SEDC","2527","3082","Y","SEDC"
"SEST","2528","3083","Y","SEST"
